,week,time,use,sid,count
19122,3,16,0,50130030,1
19123,3,16,0,50130030,1
19124,3,17,0,50130030,1
19125,3,17,0,50130030,1
19126,3,18,0,50130030,1
19127,3,19,0,50130030,1
19128,3,20,0,50130030,1
19129,3,21,0,50130030,1
19130,3,22,0,50130030,1
19131,3,23,0,50130030,1
19132,4,0,0,50130030,1
19133,4,1,0,50130030,1
19134,4,2,0,50130030,1
19135,4,3,0,50130030,1
19136,4,4,0,50130030,1
19137,4,5,0,50130030,1
19138,4,6,0,50130030,1
19139,4,7,0,50130030,1
19140,4,8,0,50130030,1
19141,4,9,0,50130030,1
19142,4,10,0,50130030,1
19143,4,11,0,50130030,1
19144,4,12,0,50130030,1
19145,4,13,0,50130030,1
19146,4,14,0,50130030,1
19147,4,15,0,50130030,1
19148,4,16,0,50130030,1
19149,4,17,0,50130030,1
19150,4,18,0,50130030,1
19151,4,19,0,50130030,1
19152,4,20,0,50130030,1
19153,4,21,0,50130030,1
19154,4,22,0,50130030,1
19155,4,23,0,50130030,1
19156,5,0,0,50130030,1
